event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-09 02:46:19 UTC,view,29900078,2059484601444729123,,peda,1647.4,532353313,47059489-3a63-4353-9eab-0e239d5cb5aa
2019-10-21 16:17:11 UTC,view,1801805,2053013554415534427,electronics.video.tv,artel,231.6,536042235,a65ee34b-7701-4b25-95e7-45a1259e747e
2019-10-21 14:42:20 UTC,cart,1004870,2053013555631882655,electronics.smartphone,samsung,284.02,517143806,a9ba13a7-afac-41ca-a3bc-016c580908c3
2019-10-03 18:40:22 UTC,view,5701087,2053013553970938175,auto.accessories.player,jvc,51.48,556492770,799d5c0a-e1f3-4f22-b61d-ab78cfed068c
2019-10-19 08:58:51 UTC,view,5300097,2053013563173241677,,remington,39.87,561838859,dd474f7f-0559-41f5-8be0-9d0912cf2b1b
2019-10-19 15:12:21 UTC,view,18000934,2053013558525952589,,dub,6.5,518933837,8e1b0b92-96b7-409a-a266-f3247dd25741
2019-10-16 10:02:32 UTC,view,11500238,2053013554625249641,,sony,45.82,515998329,b3bb3217-cab3-4f87-9c43-3d7b30f1acbf
2019-10-08 12:03:12 UTC,view,26203462,2053013563693335403,,,345.84,514387053,b7da37e7-30e4-4676-b593-ddb28ded4b59
2019-10-18 15:55:13 UTC,view,1003317,2053013555631882655,electronics.smartphone,apple,951.99,521082756,4cba9c0a-b833-4ea7-b50c-ecc8214b09cb
2019-10-21 08:51:20 UTC,view,1005160,2053013555631882655,electronics.smartphone,xiaomi,224.14,536962600,556b6886-b16b-4edf-a8a3-22d47c3e0e80
2019-10-08 10:16:06 UTC,view,3200371,2053013555321504139,appliances.kitchen.meat_grinder,elenberg,34.24,558021234,0f8a5b2e-9e6a-466d-b3fc-5d561d8b6f3d
2019-10-14 17:53:04 UTC,view,22000109,2053013561327747819,,coleman,566.27,512956983,f4f0ad8b-93c3-49e0-9f69-b62bb21e58ce
2019-10-11 18:44:55 UTC,view,5100795,2053013553341792533,electronics.clocks,garmin,1025.03,512733057,91c8079a-0a3d-43f6-ad6b-d44fc90b773d
2019-10-18 07:25:28 UTC,view,5100397,2053013553341792533,electronics.clocks,,48.9,553676797,c8cb00a3-9051-4d33-a939-010295288a13
2019-10-28 18:08:42 UTC,view,1004767,2053013555631882655,electronics.smartphone,samsung,243.47,520696454,af6e601f-331b-40fd-85de-26a95e8beca3
2019-10-29 16:24:34 UTC,view,5801388,2053013553945772349,electronics.audio.subwoofer,pioneer,162.17,565469992,ccd87019-d2fb-43cf-a59f-4d63febcd5bb
2019-10-22 18:19:12 UTC,view,22700068,2053013556168753601,,force,97.81,540658437,805d8660-0832-40dc-8526-2680b199eecc
2019-10-30 07:22:01 UTC,view,15100034,2053013557024391671,,,282.89,550407446,526797e8-11b0-4734-848c-41dc97af7f46
2019-10-25 12:18:59 UTC,view,13200993,2053013557192163841,furniture.bedroom.bed,,145.64,559138743,7f5a77b1-3d0f-48f6-8b9c-a3ae89a42904
2019-10-04 10:18:54 UTC,purchase,5801387,2053013553945772349,electronics.audio.subwoofer,pioneer,87.26,556352665,ce6278c1-fd32-409b-97ad-b4bb248ab489
2019-10-10 15:27:39 UTC,view,15100215,2053013557024391671,,,1027.03,532242815,508cd4a5-0825-4453-8907-f82a8ee08fc8
2019-10-07 16:56:01 UTC,view,1004768,2053013555631882655,electronics.smartphone,samsung,250.97,518010938,f2a91072-8024-4ca7-bb82-e5a264876b84
2019-10-09 11:06:59 UTC,view,26403508,2053013563651392361,,,103.22,519061493,64710171-2c90-4357-af57-6c6edad45c13
2019-10-18 06:04:44 UTC,view,1004767,2053013555631882655,electronics.smartphone,samsung,250.12,518350789,33d699f3-b8a7-404a-9589-50ff9db9322d
2019-10-08 09:29:32 UTC,view,3601489,2053013563810775923,appliances.kitchen.washer,samsung,475.95,533342539,6e5b3f15-158c-4680-a4c0-bb5531434f14
2019-10-19 10:42:48 UTC,view,4804056,2053013554658804075,electronics.audio.headphone,apple,160.62,534558676,35ead893-ca96-4d7c-a0fd-d7c75c9e1a30
2019-10-21 16:25:16 UTC,view,2702610,2053013563911439225,appliances.kitchen.refrigerators,arg,90.07,524774884,f8d6b2b1-e360-4cc4-8a22-f462cdaeecc8
2019-10-22 09:02:43 UTC,view,1500027,2053013552955916539,computers.peripherals.printer,hp,384.16,515060539,703e16a6-fa7a-4154-aea6-5cb77ff13e6e
2019-10-02 05:06:14 UTC,view,28715864,2053013565228450757,apparel.shoes,respect,76.96,552377767,3b4362ff-7335-4409-8ed8-f6625ebcaaed
2019-10-05 15:52:08 UTC,view,1005139,2053013555631882655,electronics.smartphone,apple,2072.1,514617598,8368ef97-9e8f-4f6a-8ca8-fdc22b24da61
2019-10-03 13:46:00 UTC,view,1004873,2053013555631882655,electronics.smartphone,samsung,380.8,556403214,fcda0dea-0285-4dfb-90fe-0950a1039e64
2019-10-11 22:50:51 UTC,view,13200101,2053013557192163841,furniture.bedroom.bed,brw,150.58,514557617,02885b7f-d782-429a-8ab5-046fb102c831
2019-10-27 03:17:22 UTC,view,44400040,2146660887094624580,apparel.jeans,,47.88,558041373,da4e6ac3-e592-4281-9bbb-8eef0ce17a87
2019-10-24 13:07:15 UTC,view,3500239,2053013555287949705,,kenwood,244.51,541734578,afa5d48e-5c7a-4085-a6a0-ff8eb41832a8
2019-10-02 06:04:56 UTC,view,4600483,2053013563944993659,appliances.kitchen.dishwasher,hansa,308.61,538738218,dcee1623-89d1-4e4a-a4ce-9371e6373f13
2019-10-24 12:29:54 UTC,view,14700670,2053013557133443581,furniture.living_room.cabinet,sv,123.53,515017247,eac28c25-432b-4f53-b257-0fe55d07750b
